cityName,content,gender ,nickName,userLevel,score,time,date,evaluate
延安,不错，剧情一般，神仙姐姐一身红衣骑马长发飘飘就够了，颜值即正义！,1,拔剑四顾心茫然！,4,4.0,2020-09-15 18:00:01,2020-09-15,好评
成都,美得很，字数不够？,1,常规懒散,3,4.5,2020-09-15 17:59:52,2020-09-15,好评
深圳,烂片一部，0分。,1,qUq772579846,3,0.5,2020-09-15 17:59:14,2020-09-15,unkown
茂名,还可以，没那么差,0,YOd359977790,3,4.0,2020-09-15 17:58:50,2020-09-15,好评
南昌,太难看了吧..根本就不是放给中国人看的啊...英文台词还中配？？？刘亦菲真的美👅,2,小葵,2,1.0,2020-09-15 17:58:35,2020-09-15,unkown
徐州,打戏很棒，我喜欢看迪士尼的公主片，花木兰是特别棒的一部公主片,0,一颗橙子酱酱,1,5.0,2020-09-15 17:58:32,2020-09-15,unkown
阜阳,很好看哈哈哈,1,吃不吃是一个问题,4,5.0,2020-09-15 17:57:59,2020-09-15,好评
余姚,对刘亦菲印象有点变化了,1,Jie.,3,4.5,2020-09-15 17:57:58,2020-09-15,好评
邵武,好的好的谢谢老板的,0,qgw799912788,2,4.5,2020-09-15 17:57:45,2020-09-15,好评
深圳,挺好看的啊，为什么给别人差评，不是谁都能演好一部电影的，力挺！,2,不忘初心,2,5.0,2020-09-15 17:57:36,2020-09-15,好评
辽阳,没有想象中那么好看,1,珍惜yyaini,2,2.5,2020-09-15 17:56:34,2020-09-15,购票
兰州,效果不错  内容感人,0,陌上【蔭】,2,5.0,2020-09-15 17:55:44,2020-09-15,好评
汕头,一般般，很普通,0,XIq401748247,2,2.5,2020-09-15 17:55:25,2020-09-15,购票
南宁,好看 还不错👍,0,姐姐。,2,5.0,2020-09-15 17:54:41,2020-09-15,unkown
南京,电影挺好的 ,1,摇头娃娃笑嘻嘻,2,4.5,2020-09-15 17:54:12,2020-09-15,unkown
景德镇,呵 标准迪士尼风格！天真烂漫,0,UZE709991165,3,2.5,2020-09-15 17:53:56,2020-09-15,购票
